beer_name,brewery,ba_score,ranking,reviews,ratings,pdev,wants,gots,trade,location,style,alcohol,availability,note_desc
It's Going To Be OK Pheel,Proclamation Ale Company,4.24,"#7,229",3,11,6.84%,0,4,0,Rhode Island,American Imperial Stout,9.50%,Rotating,"
No notes at this time."
Dropper IPA,Madison River Brewing Company,4.04,"#12,376",2,12,7.43%,1,1,0,Montana,American IPA,6.50%,Rotating,"
No notes at this time."
Bäre Bönes Kölsch,Hellbender Brewing Company,3.77,"#23,861",5,18,9.02%,0,7,0,District of Columbia,German Kölsch,5.00%,Year-round,"
No notes at this time."
Red Cicada Gose,Central Standard Brewing,3.98,"#15,070",1,11,5.03%,0,1,0,Kansas,Leipzig Gose,4.50%,Rotating,"
No notes at this time."
Rapture,The Alchemist Brewery and Visitors Center,4.34,#956,15,127,10.14%,90,13,1,Vermont,American Imperial IPA,9.60%,Rotating,"
No notes at this time."
Flotsam And Brettsam,Grey Sail Brewing of Rhode Island,3.85,"#20,345",2,12,7.79%,1,2,0,Rhode Island,American IPA,6.00%,Rotating,"
No notes at this time."
Union Jack IPA,Firestone Walker Brewing Co.,4.23,"#1,641","1,411","6,857",9.46%,521,"1,824",13,California,American IPA,7.00%,Year-round,"
No notes at this time."
077XX,Carton Brewing Company,4.26,"#1,341",173,"1,392",7.75%,204,334,13,New Jersey,American Imperial IPA,7.80%,Year-round,"
Like all things truly Jersey, 077XX makes the most in balancing through its accentuation of extremes. Inspired by the west coast IPAs we love, we added a thump of hops to a dynamic malt profile and chose a yeast to drive these two further than they wanted to go. Throw our water into this mix and you will find dank green resinous hops popping over orange, mango and papaya aromas, with just enough sweetness of body to make the long finish a pleasure to have around. Drink 0’Dub when your night matters."
Double IPA,Zipline Brewing Co,4.24,"#2,839",10,47,8.49%,8,16,0,Nebraska,American Imperial IPA,8.50%,Rotating,"
No notes at this time."
HopAnomaly,Nebraska Brewing Company,3.92,"#12,339",59,178,11.73%,12,23,0,Nebraska,Belgian IPA,9.30%,Year-round,"
(Previously known as Hop God) A beautiful golden crossbreed of a Belgian Tripel and a West Coast IPA. A remarkable explosion on the palate with spiciness, tropical fruit, and a firm citrus bitterness that will leave you begging for more! Aromas of grapefruit, citrus, and piney hops & tastes on the palate that tend toward pineapple, mango, and sweeter fruits. A big beer that was inspired by the West Coast – yet brewed by a Midwestern brewery not content with the status quo."
High Class Broad,Tyranena Brewing Company,4.06,"#6,345",65,94,8.37%,18,4,0,Wisconsin,American Brown Ale,not listed,Rotating,"
No notes at this time."
Speedway Stout - Kopi Luwak,AleSmith Brewing Company,4.37,#543,81,544,8.92%,439,73,2,California,American Imperial Stout,12.00%,Rotating,"
No notes at this time."
Saison Du Fus,COAST Brewing Company,4,"#10,809",3,29,11.25%,1,2,0,South Carolina,Belgian Saison,7.30%,Rotating,"
No notes at this time."
Fields Of Rye,Rowley Farmhouse Ales,3.69,"#27,208",2,10,12.2%,0,0,0,New Mexico,Belgian Saison,4.60%,Rotating,"
Fields of Rye is our seasonally rotating rye based classic saison."
Mohawk Blizzard Imperial Porter,AB Mohawk Brewing Company,4.14,"#5,956",8,29,9.66%,5,8,0,Sweden,American Imperial Porter,9.70%,Rotating,"
Introduced in November 2010. Brewed at Sigtuna Brygghus."
Pachyderm Pale Wheat,Avondale Brewing Co.,3.77,"#23,609",16,55,16.18%,4,16,1,Alabama,American Pale Wheat Ale,5.50%,Summer,"
No notes at this time."
Social Fermentation,Revision Brewing Company,4.14,-,14,35,7.49%,0,4,1,Nevada,New England IPA,6.50%,Rotating,"
It’s fun to party with your friends. The gang’s all here in this highly drinkable Northeast IPA. Citra and Mosaic of course, and our buddy Amarillo, life of the party Galaxy and recent addition to the squad Vic Secret. Hang out, drink up, and party on."
Emelisse Imperial Russian Stout,Bierbrouwerij Grand-Café Emelisse,3.94,"#10,999",98,254,10.15%,15,23,3,Netherlands,Russian Imperial Stout,11.00%,Year-round,"
No notes at this time."
POG IPA,Maui Brewing Co.,3.78,"#23,017",10,37,8.2%,1,4,0,Hawaii,American IPA,7.10%,Rotating,"
No notes at this time."
Full Bloom,Bluejacket / Arsenal Restaurant,3.84,"#19,137",4,35,7.29%,2,2,0,District of Columbia,Belgian Saison,5.20%,Rotating,"
No notes at this time."
Captain America,Trinity Brewhouse,3.83,"#20,632",4,18,7.31%,0,2,0,Rhode Island,American Pale Ale (APA),5.40%,Rotating,"
No notes at this time."
